iter	Passed	Remaining
434	1540	2001
435	1543	1996
436	1546	1992
437	1549	1987
438	1552	1983
439	1555	1979
440	1557	1974
441	1562	1972
442	1565	1967
443	1568	1963
444	1571	1960
445	1574	1956
446	1577	1952
447	1581	1948
448	1585	1945
449	1590	1943
450	1594	1941
451	1599	1939
452	1602	1935
453	1605	1930
454	1608	1926
455	1611	1922
456	1614	1918
457	1618	1914
458	1620	1910
459	1623	1906
460	1628	1904
461	1631	1899
462	1634	1895
463	1638	1893
464	1641	1888
465	1644	1884
466	1647	1880
467	1650	1876
468	1653	1871
469	1656	1867
470	1658	1863
471	1662	1860
472	1665	1855
473	1668	1851
474	1672	1848
475	1677	1846
476	1679	1841
477	1683	1838
478	1686	1834
479	1691	1832
480	1694	1828
481	1697	1824
482	1700	1819
483	1704	1816
484	1707	1812
485	1709	1808
486	1714	1806
487	1719	1803
488	1722	1799
489	1725	1795
490	1728	1791
491	1730	1787
492	1735	1784
493	1738	1780
494	1740	1776
495	1743	1771
496	1746	1767
497	1750	1765
498	1754	1761
499	1758	1758
500	1761	1754
501	1766	1752
502	1769	1748
503	1772	1744
504	1775	1739
505	1778	1736
506	1783	1733
507	1785	1729
508	1788	1725
509	1791	1721
510	1796	1719
511	1799	1715
512	1802	1711
513	1805	1706
514	1808	1702
515	1811	1698
516	1813	1694
517	1817	1691
518	1820	1687
519	1823	1683
520	1826	1678
521	1829	1674
522	1831	1670
523	1834	1666
524	1837	1662
525	1840	1658
526	1843	1654
527	1846	1650
528	1850	1647
529	1853	1643
530	1856	1639
531	1859	1635
532	1861	1631
533	1863	1626
534	1866	1621
535	1869	1618
536	1872	1614
537	1874	1610
538	1877	1605
539	1880	1602
540	1883	1598
541	1886	1594
542	1889	1589
543	1891	1585
544	1895	1582
545	1898	1578
546	1901	1574
547	1904	1570
548	1907	1566
549	1911	1564
550	1914	1560
551	1917	1556
552	1920	1552
553	1923	1548
554	1926	1544
555	1931	1542
556	1934	1538
557	1938	1535
558	1943	1533
559	1946	1529
560	1949	1525
561	1954	1523
562	1958	1519
563	1961	1516
564	1964	1512
565	1967	1508
566	1970	1504
567	1972	1499
568	1975	1496
569	1977	1492
570	1980	1488
571	1983	1484
572	1986	1480
573	1989	1476
574	1992	1472
575	1995	1468
576	1998	1464
577	2002	1462
578	2007	1459
579	2010	1455
580	2013	1452
581	2016	1448
582	2019	1444
583	2021	1440
584	2024	1436
585	2027	1432
586	2030	1428
587	2033	1424
588	2036	1421
589	2039	1417
590	2042	1413
591	2045	1409
592	2049	1406
593	2052	1402
594	2057	1400
595	2059	1396
596	2063	1392
597	2067	1389
598	2070	1385
599	2073	1382
600	2076	1378
601	2079	1374
602	2081	1370
603	2084	1366
604	2088	1363
605	2091	1359
606	2094	1355
607	2097	1352
608	2101	1349
609	2106	1346
610	2109	1342
611	2112	1339
612	2115	1335
613	2118	1332
614	2121	1328
615	2126	1325
616	2130	1322
617	2135	1319
618	2138	1316
619	2141	1312
620	2144	1308
621	2150	1306
622	2153	1303
623	2157	1299
624	2160	1296
625	2163	1292
626	2166	1288
627	2170	1285
628	2173	1281
629	2176	1278
630	2179	1274
631	2182	1270
632	2185	1266
633	2187	1263
634	2190	1259
635	2193	1255
636	2196	1251
637	2199	1247
638	2201	1243
639	2204	1240
640	2207	1236
641	2210	1232
642	2215	1229
643	2219	1227
644	2223	1223
645	2226	1219
646	2229	1216
647	2232	1212
648	2235	1208
649	2237	1205
650	2240	1201
651	2243	1197
652	2246	1193
653	2249	1190
654	2252	1186
655	2257	1183
656	2260	1179
657	2262	1176
658	2265	1172
659	2268	1168
660	2271	1165
661	2276	1162
662	2280	1158
663	2283	1155
664	2287	1152
665	2290	1148
666	2293	1144
667	2296	1141
668	2299	1137
669	2302	1133
670	2306	1131
671	2309	1127
672	2312	1123
673	2315	1120
674	2318	1116
675	2321	1112
676	2324	1108
677	2328	1105
678	2331	1102
679	2335	1099
680	2338	1095
681	2341	1091
682	2344	1087
683	2347	1084
684	2349	1080
685	2352	1076
686	2354	1072
687	2357	1068
688	2359	1065
689	2364	1062
690	2367	1058
691	2370	1054
692	2371	1050
693	2374	1046
694	2377	1043
695	2381	1040
696	2384	1036
697	2387	1032
698	2391	1029
699	2394	1026
700	2397	1022
701	2400	1018
702	2402	1015
703	2405	1011
704	2408	1007
705	2411	1004
706	2415	1000
707	2419	997
708	2422	994
709	2426	991
710	2430	987
711	2434	984
712	2437	981
713	2442	978
714	2445	974
715	2449	971
716	2452	967
717	2455	964
718	2460	961
719	2464	958
720	2467	954
721	2470	951
722	2472	947
723	2475	943
724	2478	940
725	2482	937
726	2487	934
727	2490	930
728	2493	926
729	2496	923
730	2500	920
731	2503	916
732	2506	913
733	2511	910
734	2513	906
735	2516	902
736	2519	899
737	2522	895
738	2525	891
739	2530	889
740	2533	885
741	2536	881
742	2540	878
743	2545	875
744	2548	872
745	2551	868
746	2554	865
747	2557	861
748	2561	858
749	2564	854
750	2567	851
751	2570	847
752	2572	843
753	2575	840
754	2578	836
755	2581	833
756	2584	829
757	2587	826
758	2590	822
759	2593	818
760	2595	815
761	2598	811
762	2601	808
763	2606	805
764	2609	801
765	2612	797
766	2615	794
767	2617	790
768	2621	787
769	2625	784
770	2628	780
771	2632	777
772	2635	773
773	2638	770
774	2641	766
775	2644	763
776	2647	759
777	2650	756
778	2653	752
779	2656	749
780	2659	745
781	2662	742
782	2664	738
783	2667	735
784	2670	731
785	2673	727
786	2678	724
787	2681	721
788	2684	717
789	2687	714
790	2690	710
791	2693	707
792	2695	703
793	2698	700
794	2701	696
795	2704	693
796	2709	690
797	2713	686
798	2720	684
799	2723	680
800	2726	677
801	2730	674
802	2733	670
803	2738	667
804	2741	664
805	2744	660
806	2747	657
807	2750	653
808	2753	650
809	2756	646
810	2759	643
811	2762	639
812	2765	635
813	2769	632
814	2773	629
815	2776	626
816	2779	622
817	2782	619
818	2785	615
819	2788	612
820	2791	608
821	2795	605
822	2798	601
823	2802	598
824	2807	595
825	2810	592
826	2813	588
827	2816	585
828	2820	581
829	2823	578
830	2826	574
831	2829	571
832	2832	567
833	2834	564
834	2837	560
835	2840	557
836	2845	554
837	2848	550
838	2850	547
839	2853	543
840	2856	540
841	2859	536
842	2862	533
843	2865	529
844	2868	526
845	2871	522
846	2877	519
847	2880	516
848	2885	513
849	2888	509
850	2891	506
851	2894	502
852	2897	499
853	2900	495
854	2903	492
855	2906	488
856	2908	485
857	2911	481
858	2914	478
859	2917	474
860	2920	471
861	2923	467
862	2930	465
863	2932	461
864	2935	458
865	2940	455
866	2943	451
867	2946	448
868	2950	444
869	2953	441
870	2956	437
871	2959	434
872	2962	430
873	2964	427
874	2969	424
875	2972	420
876	2976	417
877	2979	414
878	2982	410
879	2986	407
880	2989	403
881	2994	400
882	2997	397
883	3001	393
884	3004	390
885	3007	386
886	3009	383
887	3012	380
888	3015	376
889	3018	373
890	3021	369
891	3024	366
892	3027	362
893	3030	359
894	3032	355
895	3035	352
896	3038	348
897	3042	345
898	3045	342
899	3048	338
900	3051	335
901	3054	331
902	3057	328
903	3060	325
904	3063	321
905	3066	318
906	3070	314
907	3073	311
908	3078	308
909	3081	304
910	3084	301
911	3087	297
912	3090	294
913	3093	291
914	3097	287
915	3100	284
916	3103	280
917	3108	277
918	3111	274
919	3113	270
920	3116	267
921	3119	263
922	3122	260
923	3125	257
924	3129	253
925	3132	250
926	3135	246
927	3138	243
928	3141	240
929	3144	236
930	3147	233
931	3152	230
932	3155	226
933	3160	223
934	3163	219
935	3166	216
936	3169	213
937	3172	209
938	3177	206
939	3182	203
940	3185	199
941	3187	196
942	3191	192
943	3194	189
944	3196	186
945	3199	182
946	3202	179
947	3206	175
948	3209	172
949	3212	169
950	3215	165
951	3218	162
952	3221	158
953	3224	155
954	3228	152
955	3231	148
956	3234	145
957	3237	141
958	3241	138
959	3244	135
960	3247	131
961	3252	128
962	3255	125
963	3259	121
964	3262	118
965	3265	114
966	3268	111
967	3271	108
968	3275	104
969	3278	101
970	3281	97
971	3283	94
972	3288	91
973	3295	87
974	3300	84
975	3303	81
976	3306	77
977	3309	74
978	3312	71
979	3314	67
980	3317	64
981	3321	60
982	3324	57
983	3328	54
984	3331	50
985	3335	47
986	3339	43
987	3344	40
988	3348	37
989	3353	33
990	3356	30
991	3359	27
992	3362	23
993	3365	20
994	3368	16
995	3371	13
996	3374	10
997	3377	6
998	3380	3
999	3383	0
