iter	RMSE
234	0.344603278
235	0.3444142903
236	0.344155087
237	0.343978445
238	0.3438029526
239	0.3437022524
240	0.3435989415
241	0.3433971163
242	0.3433109131
243	0.3431293789
244	0.3429315564
245	0.3427597221
246	0.3426225034
247	0.342350934
248	0.3422535476
249	0.3420034805
250	0.3418128801
251	0.3416459791
252	0.3413394221
253	0.3412474224
254	0.3410855132
255	0.3409630128
256	0.3407238714
257	0.3406249089
258	0.3404255817
259	0.3403949117
260	0.3402838716
261	0.3402104895
262	0.3401382128
263	0.3400521657
264	0.3399274074
265	0.3397777266
266	0.3395534776
267	0.3393945449
268	0.3392806573
269	0.3390182601
270	0.3388445476
271	0.3387223484
272	0.3385568355
273	0.338431773
274	0.338291632
275	0.338122077
276	0.3379694571
277	0.3378392904
278	0.3377461509
279	0.3376486243
280	0.3375886851
281	0.3374738182
282	0.3372526103
283	0.3371550008
284	0.3371169127
285	0.3368905681
286	0.3367789004
287	0.3366646564
288	0.3365785068
289	0.336470882
290	0.3361765131
291	0.3358957821
292	0.3357248848
293	0.3355791871
294	0.3353452208
295	0.3350380957
296	0.3349405725
297	0.3347482934
298	0.3345352058
299	0.3343621056
300	0.3342028149
301	0.3340241271
302	0.3338509812
303	0.3336500502
304	0.3335812224
305	0.3334759351
306	0.3331733764
307	0.3330582309
308	0.3329349504
309	0.3327691426
310	0.3326498377
311	0.3324738608
312	0.3323888597
313	0.3322716432
314	0.3321098755
315	0.3319715529
316	0.3318442116
317	0.3316238017
318	0.3315806419
319	0.3314072533
320	0.3313189193
321	0.33119561
322	0.3311336404
323	0.3310086652
324	0.3309621934
325	0.3307579882
326	0.3306031615
327	0.3304360097
328	0.3302343377
329	0.3301048728
330	0.3300220663
331	0.3298722519
332	0.3297605901
333	0.3296274923
334	0.3294251857
335	0.3292487379
336	0.3291589324
337	0.3290143273
338	0.3288895524
339	0.3287771112
340	0.3286269828
341	0.3285246426
342	0.3284294873
343	0.3283071796
344	0.3281804144
345	0.327981871
346	0.3277837737
347	0.327682266
348	0.3275389034
349	0.3273914045
350	0.3272181207
351	0.3270633623
352	0.3270231273
353	0.326942126
354	0.3267050347
355	0.3265580179
356	0.3264087736
357	0.3262681952
358	0.3261503445
359	0.3259779775
360	0.3257901061
361	0.3256117857
362	0.3254917489
363	0.3253251074
364	0.3251835413
365	0.3249831871
366	0.3248628831
367	0.3247236073
368	0.3246011709
369	0.3245163964
370	0.3243447797
371	0.3242871802
372	0.3241804826
373	0.324000596
374	0.3238294493
375	0.3237405557
376	0.3235513979
377	0.3234320489
378	0.3233779934
379	0.3233304846
380	0.3232216057
381	0.3230157997
382	0.3229549116
383	0.3228592459
384	0.3227484303
385	0.3226093327
386	0.3225291795
387	0.3224354492
388	0.3223502246
389	0.3221472006
390	0.3220683161
391	0.3219921412
392	0.3218471261
393	0.3217176585
394	0.3215888048
395	0.3214412758
396	0.3212926428
397	0.3212228404
398	0.3211493996
399	0.3209685502
400	0.3208488923
401	0.3206637029
402	0.3205939603
403	0.3204533983
404	0.3203337384
405	0.32016585
406	0.3200480869
407	0.3199387992
408	0.3197696959
409	0.3197042171
410	0.319514175
411	0.319413888
412	0.3193372307
413	0.3192423477
414	0.3191555862
415	0.319095535
416	0.3189473506
417	0.3188617891
418	0.3187791026
419	0.3186015048
420	0.3184240075
421	0.3182983459
422	0.3181447972
423	0.3179622297
424	0.3178558073
425	0.3177615389
426	0.3177024883
427	0.3176733445
428	0.3175061387
429	0.3172823276
430	0.3171415171
431	0.3169510867
432	0.3168938688
433	0.31681572
434	0.3167362897
435	0.3166061439
436	0.3165456618
437	0.316418573
438	0.3163576537
439	0.3162341766
440	0.316087109
441	0.3159541414
442	0.3159140479
443	0.3157919475
444	0.3156411326
445	0.315491711
446	0.3153499652
447	0.3152536944
448	0.3152103774
449	0.3150485112
450	0.3149324254
451	0.3148628646
452	0.3147976821
453	0.3147050055
454	0.3145741462
455	0.3143486683
456	0.3141873573
457	0.3140836353
458	0.3140509691
459	0.3139947125
460	0.3138558308
461	0.3136228118
462	0.3135440464
463	0.3134060418
464	0.3132987499
465	0.313193908
466	0.313063951
467	0.3129932847
468	0.3128216402
469	0.3127653485
470	0.3126692036
471	0.3126045833
472	0.3125274764
473	0.3124621241
474	0.3124076116
475	0.3121944822
476	0.312070204
477	0.3119672918
478	0.3118477552
479	0.3117195544
480	0.3116499873
481	0.3116178483
482	0.3115129366
483	0.311367606
484	0.31120762
485	0.3111379331
486	0.3110160253
487	0.3108601923
488	0.3107510314
489	0.3106797851
490	0.3106388897
491	0.3105544556
492	0.3104149014
493	0.3103883948
494	0.3102342972
495	0.3101329675
496	0.3100897072
497	0.3099423055
498	0.3098683725
499	0.3098473577
500	0.3097612776
501	0.3096738096
502	0.3095804417
503	0.3095465339
504	0.3094813151
505	0.3093835863
506	0.3092428047
507	0.3091756641
508	0.3090608856
509	0.3089916093
510	0.3089197327
511	0.3087334154
512	0.3086931988
513	0.308587952
514	0.3085213544
515	0.3084034915
516	0.3083050173
517	0.3082102288
518	0.3080673814
519	0.3079285057
520	0.3078833104
521	0.307718874
522	0.3076332639
523	0.3075640569
524	0.3073889136
525	0.3072617795
526	0.3070626141
527	0.3070124443
528	0.3068952181
529	0.3068190185
530	0.3067168019
531	0.3066365385
532	0.3065779379
533	0.3063635842
534	0.3062970483
535	0.30623942
536	0.3061074431
537	0.3060372643
538	0.3059535258
539	0.3058096424
540	0.3057169304
541	0.3055957654
542	0.3055008877
543	0.3053690122
544	0.3052564846
545	0.3051901453
546	0.3050720151
547	0.3050157821
548	0.304970004
549	0.3048302446
550	0.3047186051
551	0.3045970258
552	0.304491163
553	0.3043419458
554	0.3042468122
555	0.3041939757
556	0.3040638144
557	0.3039036248
558	0.3038488155
559	0.3037700748
560	0.3036651365
561	0.3036316065
562	0.3035800197
563	0.3034498553
564	0.3033225035
565	0.3032785644
566	0.3031777628
567	0.3030794696
568	0.30301524
569	0.302879085
570	0.302763295
571	0.3026926914
572	0.3025275407
573	0.3023827588
574	0.3022162284
575	0.3021025221
576	0.3019072031
577	0.3018136129
578	0.3016648605
579	0.3015866641
580	0.3015016642
581	0.3013509644
582	0.301269887
583	0.3011795459
584	0.3010403645
585	0.3009134734
586	0.3008030417
587	0.300691044
588	0.3005951868
589	0.3005526386
590	0.3003632088
591	0.300264357
592	0.3001365185
593	0.3000999952
594	0.300000289
595	0.2998761294
596	0.2997334899
597	0.299552649
598	0.299506822
599	0.2994506964
600	0.299365489
601	0.2993383795
602	0.2993102273
603	0.2992291495
604	0.2990625614
605	0.2990105006
606	0.298927434
607	0.2987716102
608	0.2986610658
609	0.2986249317
610	0.2984947917
611	0.2983849985
612	0.2982923654
613	0.2982164926
614	0.2980389675
615	0.2979715894
616	0.2978830554
617	0.2977016801
618	0.2976235705
619	0.2974356948
620	0.2973415698
621	0.2971913047
622	0.297068002
623	0.2969451151
624	0.2968887272
625	0.296782641
626	0.2966735466
627	0.2965070972
628	0.2963804882
629	0.2962096087
630	0.2961784253
631	0.2960584129
632	0.2959877767
633	0.295934177
634	0.2958509002
635	0.2957545974
636	0.2956771359
637	0.2954978825
638	0.2954015261
639	0.2953564125
640	0.295250968
641	0.2951982022
642	0.2950950379
643	0.2950366027
644	0.2948915715
645	0.2947575441
646	0.2946006853
647	0.2944982946
648	0.2943427425
649	0.2942777175
650	0.2942484631
651	0.2942213039
652	0.2941010262
653	0.294009514
654	0.2939216265
655	0.2938367358
656	0.2936609377
657	0.2935345392
658	0.2934986736
659	0.2933156937
660	0.2932281363
661	0.2931277231
662	0.2929835197
663	0.2929302005
664	0.2928948656
665	0.2928623669
666	0.2927458097
667	0.2927078388
668	0.2926001572
669	0.2925472635
670	0.2924546138
671	0.292351031
672	0.2922423893
673	0.2921884598
674	0.2921093972
675	0.2919484659
676	0.2918091177
677	0.291789124
678	0.2916921435
679	0.2915876625
680	0.2915096791
681	0.2913864019
682	0.2913557577
683	0.2912237426
684	0.2911746777
685	0.2910867235
686	0.2909801473
687	0.2909299892
688	0.2908281849
689	0.2907400845
690	0.2905719454
691	0.2904324456
692	0.290357079
693	0.2902293897
694	0.2901119647
695	0.2899887425
696	0.2898974381
697	0.2898213223
698	0.2897549648
699	0.2897316834
700	0.289650808
701	0.2895351419
702	0.2895173734
703	0.2893710043
704	0.2892820966
705	0.2892046461
706	0.2890738961
707	0.2889783112
708	0.2888970544
709	0.2887975421
710	0.2887932099
711	0.2887025194
712	0.2885605719
713	0.2884597984
714	0.2884118257
715	0.288302136
716	0.2882958205
717	0.2881790189
718	0.2880655154
719	0.2879724038
720	0.2879306724
721	0.2878092112
722	0.2876999778
723	0.2875986915
724	0.2874850449
725	0.287411371
726	0.2873020069
727	0.2871852919
728	0.2871457022
729	0.2870366623
730	0.2869293022
731	0.2868070413
732	0.2867063519
733	0.2866715255
734	0.2865544765
735	0.2864555443
736	0.2864123943
737	0.2863639887
738	0.2862824006
739	0.2861458518
740	0.2861090899
741	0.2860414928
742	0.2859308651
743	0.2858423432
744	0.2857043878
745	0.2855938593
746	0.2855748946
747	0.2855212588
748	0.2854424829
749	0.285345315
750	0.2853107187
751	0.285195299
752	0.2851168949
753	0.2850273581
754	0.2849410614
755	0.2848895001
756	0.2848750273
757	0.2847796472
758	0.2847388859
759	0.2846777978
760	0.2845782134
761	0.2844802265
762	0.2843658749
763	0.2842298568
764	0.2841382333
765	0.2841036842
766	0.2840048203
767	0.2838850132
768	0.2838110108
769	0.2837975678
770	0.283712707
771	0.2836272879
772	0.2835324444
773	0.2834778677
774	0.2834012169
775	0.2833703661
776	0.2832941876
777	0.2832183405
778	0.2831435123
779	0.2830797726
780	0.2830345949
781	0.2829176495
782	0.2828467245
783	0.2827996043
784	0.2827051942
785	0.2826155039
786	0.2825654532
787	0.2824880681
788	0.2823920647
789	0.2823093905
790	0.2822363214
791	0.282124416
792	0.2821155985
793	0.2819873843
794	0.2818648901
795	0.2817836185
796	0.2817406067
797	0.2816723907
798	0.2815391959
799	0.2814819833
800	0.281325492
801	0.2812005509
802	0.2810926411
803	0.2810310911
804	0.2810176851
805	0.2809769357
806	0.2808448368
807	0.2807316388
808	0.2806333315
809	0.2805291995
810	0.2804621392
811	0.2804029639
812	0.2803061372
813	0.2802380488
814	0.280192769
815	0.2801418879
816	0.2800131077
817	0.2799764176
818	0.2799354902
819	0.2798987933
820	0.2798308123
821	0.2797211913
822	0.2796497297
823	0.2795438722
824	0.2794592067
825	0.2793931821
826	0.2793520821
827	0.2792844421
828	0.2792291106
829	0.2791693496
830	0.2791197016
831	0.2790349477
832	0.278975056
833	0.2789207817
834	0.278793439
835	0.2787875454
836	0.2787192708
837	0.2786713286
838	0.2786081752
839	0.2785010404
840	0.2783929328
841	0.2783018791
842	0.2781948047
843	0.2781473943
844	0.2780488236
845	0.2780251189
846	0.2779823974
847	0.2779434
848	0.2778909963
849	0.2777988065
850	0.2777330619
851	0.2776996695
852	0.2776197718
853	0.277519264
854	0.2774793757
855	0.2773541789
856	0.2772878524
857	0.2772456281
858	0.2772031888
859	0.2771473909
860	0.2770818151
861	0.2770354395
862	0.276982546
863	0.2769214289
864	0.2768774328
865	0.2768100235
866	0.2767917204
867	0.2766574923
868	0.2765988154
869	0.2765088409
870	0.2764326989
871	0.2763322928
872	0.2763106386
873	0.2762842624
874	0.2762412959
875	0.2762046227
876	0.276162834
877	0.2761113547
878	0.2760126623
879	0.2758890289
880	0.2758785863
881	0.2758049156
882	0.2757155539
883	0.2756143852
884	0.2755564942
885	0.2754416356
886	0.2753917836
887	0.2753647177
888	0.2752960996
889	0.2752202974
890	0.2751940649
891	0.2751451667
892	0.2750927362
893	0.2750083192
894	0.2748752457
895	0.2747951421
896	0.2747466195
897	0.2747138512
898	0.2746322049
899	0.2745231087
900	0.2744568452
901	0.2743596634
902	0.2742578095
903	0.2742051583
904	0.2741272316
905	0.2741071071
906	0.2739897185
907	0.2739136414
908	0.2738712761
909	0.2738053604
910	0.2737160089
911	0.2736751752
912	0.2736347998
913	0.2735324706
914	0.2734509637
915	0.2733692288
916	0.2733533735
917	0.2732557893
918	0.2732220154
919	0.2731403222
920	0.2730855182
921	0.2730476018
922	0.2730104445
923	0.2729010226
924	0.2727792148
925	0.2727510589
926	0.2727051496
927	0.2726636757
928	0.2725794359
929	0.2725015441
930	0.272437175
931	0.2723637302
932	0.2722793021
933	0.2721992924
934	0.2721308279
935	0.2720448011
936	0.2719986129
937	0.2719296464
938	0.2718423205
939	0.2717697104
940	0.2716771535
941	0.2716392998
942	0.2716085951
943	0.2715571179
944	0.2714815813
945	0.2714647144
946	0.2713776993
947	0.2713404163
948	0.2712541975
949	0.2711937737
950	0.2710808106
951	0.2710103313
952	0.270922086
953	0.2708179144
954	0.2707575905
955	0.2706429644
956	0.2705606602
957	0.2705314887
958	0.2704890291
959	0.2704054308
960	0.2703359301
961	0.2702726633
962	0.2702483603
963	0.2702375783
964	0.2701399371
965	0.2700466542
966	0.2699633387
967	0.2699201801
968	0.2699019841
969	0.2698622453
970	0.2698209358
971	0.2698048811
972	0.2697193416
973	0.2696479913
974	0.2695629088
975	0.2695133244
976	0.2694894015
977	0.2693987315
978	0.2693387378
979	0.2692353473
980	0.2691811451
981	0.2690774614
982	0.2690309575
983	0.2689283164
984	0.2687976754
985	0.2686966692
986	0.2686303782
987	0.2685574067
988	0.2684116345
989	0.2683739402
990	0.26830018
991	0.2682471828
992	0.2681646926
993	0.2681000622
994	0.2680727742
995	0.2679642995
996	0.2679438991
997	0.2678443707
998	0.2678022561
999	0.2676961607
